netstat -ano

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1612
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:903            0.0.0.0:0              LISTENING       6292
  TCP    0.0.0.0:913            0.0.0.0:0              LISTENING       6292
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11052
  TCP    0.0.0.0:6881           0.0.0.0:0              LISTENING       16060
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       5028
  TCP    0.0.0.0:8733           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:9007           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:38565          0.0.0.0:0              LISTENING       16060
  TCP    0.0.0.0:38566          0.0.0.0:0              LISTENING       16060
  TCP    0.0.0.0:38567          0.0.0.0:0              LISTENING       16060
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1288
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1116
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2196
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3244
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4436
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       1236
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       4844
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       5184
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       4844
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       5184
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING       4844
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       5184
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       5184
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       5184
  TCP    0.0.0.0:49679          0.0.0.0:0              LISTENING       5184
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING       21220
  TCP    127.0.0.1:11434        0.0.0.0:0              LISTENING       20104
  TCP    127.0.0.1:17740        127.0.0.1:17741        ESTABLISHED     21220
  TCP    127.0.0.1:17741        127.0.0.1:17740        ESTABLISHED     21220
  TCP    127.0.0.1:17742        127.0.0.1:17743        ESTABLISHED     21220
  TCP    127.0.0.1:17743        127.0.0.1:17742        ESTABLISHED     21220
  TCP    127.0.0.1:19294        0.0.0.0:0              LISTENING       6492
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       5084
  TCP    127.0.0.1:27769        127.0.0.1:27770        ESTABLISHED     16060
  TCP    127.0.0.1:27770        127.0.0.1:27769        ESTABLISHED     16060
  TCP    127.0.0.1:27774        127.0.0.1:47690        ESTABLISHED     16060
  TCP    127.0.0.1:34508        0.0.0.0:0              LISTENING       17260
  TCP    127.0.0.1:38565        127.0.0.1:1370         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:1421         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:2703         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:3640         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:7754         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:8629         TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:11362        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:11900        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:15443        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:16174        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:19750        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:21304        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:22033        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:22683        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:23224        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:24988        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:25613        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:28710        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:36929        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:40818        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:41166        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:48108        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:48260        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:48499        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:49682        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:52114        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:55078        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:58941        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:61442        TIME_WAIT       0
  TCP    127.0.0.1:38565        127.0.0.1:61910        TIME_WAIT       0
  TCP    127.0.0.1:41383        0.0.0.0:0              LISTENING       19928
  TCP    127.0.0.1:44950        0.0.0.0:0              LISTENING       1356
  TCP    127.0.0.1:44960        0.0.0.0:0              LISTENING       1356
  TCP    127.0.0.1:46305        127.0.0.1:46306        ESTABLISHED     9476
  TCP    127.0.0.1:46306        127.0.0.1:46305        ESTABLISHED     9476
  TCP    127.0.0.1:47690        127.0.0.1:27774        ESTABLISHED     17260
  TCP    127.0.0.1:52273        0.0.0.0:0              LISTENING       17260
  TCP    192.168.29.188:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.29.188:1422    13.32.251.28:443       ESTABLISHED     24392
  TCP    192.168.29.188:1989    172.64.148.235:443     ESTABLISHED     4056
  TCP    192.168.29.188:2682    44.197.81.17:443       ESTABLISHED     24392
  TCP    192.168.29.188:5026    35.201.97.85:443       ESTABLISHED     4056
  TCP    192.168.29.188:5331    34.196.141.24:443      CLOSE_WAIT      24392
  TCP    192.168.29.188:6325    52.123.129.14:443      ESTABLISHED     11680
  TCP    192.168.29.188:8462    54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:10709   52.204.51.198:443      ESTABLISHED     13052
  TCP    192.168.29.188:13687   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:13776   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:20238   150.171.22.12:443      ESTABLISHED     4056
  TCP    192.168.29.188:20559   130.211.36.94:443      ESTABLISHED     4056
  TCP    192.168.29.188:20854   142.251.222.163:443    TIME_WAIT       0
  TCP    192.168.29.188:23105   192.178.211.84:443     ESTABLISHED     4056
  TCP    192.168.29.188:24131   57.144.213.32:443      ESTABLISHED     4056
  TCP    192.168.29.188:24189   108.158.46.102:443     ESTABLISHED     4056
  TCP    192.168.29.188:24974   100.29.177.189:443     ESTABLISHED     24392
  TCP    192.168.29.188:24985   52.123.173.3:443       ESTABLISHED     18412
  TCP    192.168.29.188:24986   20.249.168.121:443     ESTABLISHED     4076
  TCP    192.168.29.188:24987   148.113.16.94:443      ESTABLISHED     5028
  TCP    192.168.29.188:24989   49.44.120.97:443       ESTABLISHED     9476
  TCP    192.168.29.188:25428   52.123.171.37:443      ESTABLISHED     11680
  TCP    192.168.29.188:25691   192.178.211.84:443     ESTABLISHED     4056
  TCP    192.168.29.188:28129   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:30528   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:32935   4.213.25.240:443       ESTABLISHED     10128
  TCP    192.168.29.188:33582   35.220.128.127:443     ESTABLISHED     4056
  TCP    192.168.29.188:34067   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:34832   54.167.74.83:443       ESTABLISHED     4056
  TCP    192.168.29.188:36504   142.250.205.110:443    TIME_WAIT       0
  TCP    192.168.29.188:37540   52.206.16.101:443      CLOSE_WAIT      24392
  TCP    192.168.29.188:38510   185.199.108.133:443    ESTABLISHED     4056
  TCP    192.168.29.188:39741   3.215.93.7:443         ESTABLISHED     4056
  TCP    192.168.29.188:41067   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:41167   49.44.120.97:443       ESTABLISHED     5600
  TCP    192.168.29.188:44169   74.125.130.188:5228    ESTABLISHED     4056
  TCP    192.168.29.188:44437   4.190.204.134:443      ESTABLISHED     11680
  TCP    192.168.29.188:46864   52.87.91.65:443        ESTABLISHED     24392
  TCP    192.168.29.188:49422   4.213.25.240:443       ESTABLISHED     6176
  TCP    192.168.29.188:49680   99.86.147.109:443      ESTABLISHED     17312
  TCP    192.168.29.188:49681   54.211.36.14:443       ESTABLISHED     24392
  TCP    192.168.29.188:51427   172.64.155.209:443     ESTABLISHED     4056
  TCP    192.168.29.188:52359   54.234.82.57:443       ESTABLISHED     13052
  TCP    192.168.29.188:55074   35.201.97.85:443       ESTABLISHED     4056
  TCP    192.168.29.188:56952   107.22.53.22:443       ESTABLISHED     24392
  TCP    192.168.29.188:58544   57.155.142.104:443     TIME_WAIT       0
  TCP    192.168.29.188:58545   57.155.142.104:443     TIME_WAIT       0
